Institute_Code,Institute_Name,ESTABLISHMENT_YEAR,NIRF,IMG_SOURCE_LINK,STATE,Institute_Address,CTC,Institute_area
110,IIT Madras,1959,1,https://media.glassdoor.com/l/70/e3/a0/3d/himalaya.jpg,Tamil Nadu,"Chennai, Tamil Nadu",32,617
104,IIT Delhi,1961,2,https://images.shiksha.com/mediadata/images/articles/1692604418phpIjTYlA.jpeg,Delhi,"Hauz Khas, New Delhi",32.89,325
102,IIT Bombay,1958,3,"https://static.toiimg.com/thumb/msid-103032681,width-1280,height-720,resizemode-4/103032681.jpg",Maharashtra,"Powai, Mumbai, Maharashtra",30.85,550
109,IIT Kanpur,1959,4,https://images.shiksha.com/mediadata/images/articles/1638770034phpsOG74O.jpeg,Uttar Pradesh,"Kanpur, Kalyanpur road",35.25,1055
113,IIT Roorkee,1847,5,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202111/ayaneshu-bhardwaj-Acx3N9h-QXs-_1200x768.jpeg,Uttarakhand,"Haridwar Highway, Roorkee, Uttarakhand",30.09,365
106,IIT Kharagpur,1950,6,https://media.assettype.com/freepressjournal/2023-05/ae5671fb-8adc-435b-87aa-c22ec7cbe249/IIT_Kharagpur.jfif,West Bengal,"Paschim Medinipur, West Bengal",30.25,2100
117,IIT Guwahati,1994,7,https://images.indianexpress.com/2023/04/IIT-Guwahati.jpg,Assam,"Amingaon, North Guwahati",30.36,285
107,IIT Hyderabad,2008,8,https://static.theprint.in/wp-content/uploads/2019/02/10thAniversary-1-e1550671813784.jpg,Telangana,"Sangareddy, Kandi",27.3,576
105,IIT Indore,2009,14,https://img.jagranjosh.com/images/2022/April/1242022/120737261_169543278125751_7704436929187513589_n.jpg,Madhya Pradesh,"Khandwa Road, Simrol",28.35,510
116,IIT (BHU) Varanasi,1919,15,https://iitbhu.ac.in/contents/iitbhu/img/slider/iit_bhu_slider_03.jpg,Uttar Pradesh,"Varanasi, Uttar Pradesh",29.05,1332
114,IIT (ISM) Dhanbad,1926,17,https://ese.iitism.ac.in/assets/images/slider/science.jpg,Jharkhand,"SM, RD, Kalyanpur, Jharkhand",28.06,393
111,IIT Gandhinagar,2008,18,https://images.indianexpress.com/2021/07/A-view-of-IIT-Gandhinagar-Campus.jpeg,Gujarat,"Near Village Palaj, Gandhinagar",25.36,400
115,IIT Ropar,2008,22,https://images.tribuneindia.com/cms/gall_content/2019/6/2019_6$largeimg08_Saturday_2019_064859154.jpg,Punjab,"Bara Phool, Punjab",28.88,501
101,IIT Bhubaneswar,2008,27,https://images.shiksha.com/mediadata/images/1692684806phpW1XOg9.jpeg,Odisha,Bhubaneswar Argul,24.28,936
108,IIT Jodhpur,2008,30,https://iitj.ac.in/plasma2022/images/iitjcampus.jpg,Rajasthan,"Nagaur Road, Karwar Jodhpur",24.98,852
103,IIT Mandi,2009,33,https://apacnewsnetwork.com/wp-content/uploads/2022/10/IIT-Mandi-iHub-HCL-foundation-organise-winter-school-on-cognitive-modeling.png,Himachal Pradesh,"Parashar Road, Tehsil Sadar, Near Kataula",25.6,538
112,IIT Patna,2008,41,https://www.iitp.ac.in/images/photo/incubation-center-top.jpg,Bihar,"Bihta Kanpa Rd, Patna, Dayalpur Daulatpur",29.36,501
121,IIT Tirupati,2015,59,https://qph.cf2.quoracdn.net/main-qimg-cd506443feeeff4f537deed36914e53f-lq,Andhra Pradesh,"Chindepalle, Andhra Pradesh",28.36,530
122,IIT Jammu,2016,67,https://iitjammu.ac.in/highlights2021/images/pic21.jpg,Jammu and Kashmir,"Nagrota, Jagti, Jammu and Kashmir",21.6,394
120,IIT Palakkad,2015,69,https://th-i.thgim.com/public/news/national/kerala/mezxg5/article67020620.ece/alternates/FREE_1200/Sahyadri.jpeg,Kerala,Palakkad Kanjikkode ,19.36,500
118,IIT Bhilai,2016,81,https://th-i.thgim.com/public/news/national/kerala/mezxg5/article67020620.ece/alternates/FREE_1200/Sahyadri.jpeg,Chhattisgarh,"Lane Road, Jevra, Chhattisgar",22.9,500
119,IIT Goa,2016,85,https://qph.cf2.quoracdn.net/main-qimg-13ec78506cd2c0bfff6a80078ab69bcb,Goa,"Farmagudi, Ponda, Goa",20.69,300
123,IIT Dharwad,2016,93,https://www.iitdh.ac.in/sites/default/files/2023-10/campus2.jpg,Karnataka,"PB Road, near High Court",24.36,470
