CAT,EQ_CRL,CAT_CRL,MARKS
OBC-NCL,94,84,316
OBC-NCL,778,242,230
OBC-NCL,1227,273,209
OBC-NCL,1775,301,192
OBC-NCL,2493,548,180
OBC-NCL,2894,553,172
OBC-NCL,3482,765,166
OBC-NCL,3889,825,160
OBC-NCL,4360,927,156
OBC-NCL,4826,1033,151
OBC-NCL,5125,1016,148
OBC-NCL,5705,1196,144
OBC-NCL,6115,1364,142
OBC-NCL,6377,1362,140
OBC-NCL,6787,1524,137
OBC-NCL,7250,1684,135
OBC-NCL,7606,1796,133
OBC-NCL,7822,1787,132
OBC-NCL,8174,1862,130
OBC-NCL,8580,1979,128
OBC-NCL,9054,2184,126
OBC-NCL,9271,2113,124
OBC-NCL,9668,2207,123
OBC-NCL,10123,2410,121
OBC-NCL,10560,2587,120
OBC-NCL,10969,2667,118
OBC-NCL,11206,2644,117
OBC-NCL,11574,2739,115
OBC-NCL,11932,2845,114
OBC-NCL,12422,3096,113
OBC-NCL,12688,3102,112
OBC-NCL,13010,3159,111
OBC-NCL,13455,3344,109
OBC-NCL,13716,3385,108
OBC-NCL,14140,3548,107
OBC-NCL,14423,3527,106
OBC-NCL,14835,3742,106
OBC-NCL,15253,3908,105
OBC-NCL,15494,3876,104
OBC-NCL,15947,4093,103
OBC-NCL,16124,4010,102
OBC-NCL,16510,4124,101
OBC-NCL,16831,4247,100
OBC-NCL,17219,4370,99
OBC-NCL,17652,4550,99
OBC-NCL,17932,4633,98
OBC-NCL,18263,4684,97
OBC-NCL,18552,4724,96
OBC-NCL,18956,4910,95
OBC-NCL,19367,5045,95
OBC-NCL,19670,5102,94
OBC-NCL,19984,5193,93
OBC-NCL,20380,5327,92
OBC-NCL,20699,5422,92
OBC-NCL,20975,5482,91
OBC-NCL,21344,5628,90
OBC-NCL,21613,5650,90
OBC-NCL,22019,5784,89
OBC-NCL,22325,5868,88
OBC-NCL,22815,6065,88
OBC-NCL,23028,6039,87
OBC-NCL,23401,6176,87
OBC-NCL,23815,6381,86
OBC-NCL,24031,6387,85
OBC-NCL,24462,6585,85
OBC-NCL,24595,6519,84
OBC-NCL,25009,6681,84
OBC-NCL,25335,6787,83
OBC-NCL,25708,6933,83
OBC-NCL,26005,7005,82
OBC-NCL,26324,7099,82
OBC-NCL,26575,7116,81
OBC-NCL,27079,7381,81
OBC-NCL,27290,7368,80
OBC-NCL,27706,7541,80
OBC-NCL,27999,7601,79
OBC-NCL,28245,7619,79
OBC-NCL,28568,7704,78
OBC-NCL,29086,7990,78
OBC-NCL,29329,8005,77
OBC-NCL,29625,8068,77
OBC-NCL,29946,8150,77
OBC-NCL,30402,8373,76
OBC-NCL,30675,8413,76
OBC-NCL,31013,8519,75
OBC-NCL,31314,8581,75
OBC-NCL,31700,8739,74
OBC-NCL,32053,8859,74
OBC-NCL,32297,8864,74
OBC-NCL,32584,8925,73
OBC-NCL,32989,9093,73
OBC-NCL,33143,9137,73
OPEN,53,59,337
OPEN,147,150,280
OPEN,275,282,265
OPEN,377,385,253
OPEN,437,445,244
OPEN,665,667,238
OPEN,659,668,233
OPEN,783,784,228
OPEN,867,870,223
OPEN,931,936,218
OPEN,1079,1088,215
OPEN,1217,1225,211
OPEN,1209,1213,208
OPEN,1361,1361,205
OPEN,1555,1562,202
OPEN,1513,1519,199
OPEN,1747,1750,196
OPEN,1873,1879,193
OPEN,1843,1844,191
OPEN,1991,1996,189
OPEN,2049,2053,187
OPEN,2245,2247,185
OPEN,2341,2341,183
OPEN,2359,2368,181
OPEN,2555,2562,179
OPEN,2647,2650,177
OPEN,2795,2802,176
OPEN,2725,2727,174
OPEN,2973,2979,173
OPEN,3081,3081,171
OPEN,3123,3124,170
OPEN,3173,3179,169
