Institute_code,Academic_program_name,OPEN_Gender_Neutral_OR,OPEN_Gender_Neutral_CR,OPEN_Female_Only_OR,OPEN_Female_Only_CR,OBC_NCL_Gender_Neutral_OR,OBC_NCL_Gender_Neutral_CR,OBC_NCL_Female_Only_OR,OBC_NCL_Female_Only_CR,SC_Gender_Neutral_OR,SC_Gender_Neutral_CR,SC_Female_Only_OR,SC_Female_Only_CR,ST_Gender_Neutral_OR,ST_Gender_Neutral_CR,ST_Female_Only_OR,ST_Female_Only_CR,Avg_branch_ctc,Seat_capacity
101,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1734,3265,3587,5370,828,1298,1997,2455,472,815,1199,1220,323,432,630,630,32.4,79
101,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",3622,3736,8150,8150,1416,1552,3031,3031,1015,1015,1322,1343,480,480,869,869,28.4,65
101,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",3258,5326,7317,8855,1543,2137,2541,3090,862,1356,1555,1616,509,577,1157,1157,28.2,95
101,"Electrical Engineering (4 Years, Bachelor of Technology)",5193,7714,10066,12898,2114,2692,3404,4912,1242,1765,2431,2431,511,599,1022,1022,25,93
101,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",7759,8178,15836,15836,3167,3290,6066,6066,2253,2253,2726,2726,1043,1043,1317,1317,23.3,63
101,"Mechanical Engineering (4 Years, Bachelor of Technology)",7964,10922,15010,18003,3160,3943,5659,7171,2067,2390,2341,2376,919,930,1612,1612,29.7,64
101,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",10804,11691,19089,19089,4126,4567,8877,8877,2343,2636,2576,2611,1245,1589,1847,1847,30.9,74
101,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",11933,12737,19188,19188,4685,4722,8816,8816,2674,2674,3625,3625,1512,1512,1786,1786,25.7,85
101,"Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",11793,13364,20374,20374,4429,4546,8185,8185,2694,2694,4571,4571,1555,1555,1821,1821,34.5,95
101,"Civil Engineering (4 Years, Bachelor of Technology)",12831,15253,19245,21485,4582,5530,6161,7448,2197,3055,4241,4241,1054,1114,1605,1605,20.7,61
