Program_Code,Program_Name,Major,Degree
4101,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,"(4 Years, Bachelor of Technology)"
5201,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Aerospace Engineering,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
4102,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",Agricultural and Food Engineering,"(4 Years, Bachelor of Technology)"
5203,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",Agricultural and Food Engineering with M.Tech. in any of the listed specializations,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
4209,"Applied Geology (4 Years, Bachelor of Science)",Applied Geology,"(4 Years, Bachelor of Science)"
5306,"Applied Geology (5 Years, Integrated Master of Technology)",Applied Geology,"(5 Years, Integrated Master of Technology)"
5307,"Applied Geophysics (5 Years, Integrated Master of Technology)",Applied Geophysics,"(5 Years, Integrated Master of Technology)"
5101,"Architecture (5 Years, Bachelor of Architecture)",Architecture,"(5 Years, Bachelor of Architecture)"
4185,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,"(4 Years, Bachelor of Technology)"
411G,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Engineering,"(4 Years, Bachelor of Technology)"
4188,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Science,"(4 Years, Bachelor of Technology)"
5A03,"B. Tech in CE. - M. Tech. in Geotechnical Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",B. Tech in CE. - M. Tech. in Geotechnical Engineering,"(5 Years, B.Tech. + M.Tech./MS (Dual Degree))"
5A04,"B. Tech in CE. - M. Tech. in Structural Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",B. Tech in CE. - M. Tech. in Structural Engineering,"(5 Years, B.Tech. + M.Tech./MS (Dual Degree))"
5A05,"B. Tech. (CSE) and M.Tech in CSE (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",B. Tech. (CSE) and M.Tech in CSE,"(5 Years, B.Tech. + M.Tech./MS (Dual Degree))"
5A06,"B. Tech. (ECE) -M. Tech. in VLSI (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",B. Tech. (ECE) -M. Tech. in VLSI,"(5 Years, B.Tech. + M.Tech./MS (Dual Degree))"
5A07,"B. Tech. (EEE)-M. Tech. in (Power &. Control) (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",B. Tech. (EEE)-M. Tech. in (Power &. Control),"(5 Years, B.Tech. + M.Tech./MS (Dual Degree))"
5A09,"B. Tech. (Mathematics & Computing) M. Tech. in (Mathematics & Computing) (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",B. Tech. (Mathematics & Computing) M. Tech. in (Mathematics & Computing),"(5 Years, B.Tech. + M.Tech./MS (Dual Degree))"
5A10,"B. Tech. (ME) - M. Tech. in Mechatronics (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",B. Tech. (ME) - M. Tech. in Mechatronics,"(5 Years, B.Tech. + M.Tech./MS (Dual Degree))"
5404,"B. Tech. (ME) - MBA (NITIE) (5 Years, Bachelor of Technology and MBA (Dual Degree))",B. Tech. (ME) - MBA (NITIE),"(5 Years, Bachelor of Technology and MBA (Dual Degree))"
410Y,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",B.Tech in General Engineering,"(4 Years, Bachelor of Technology)"
411D,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",B.Tech in Materials Science and Engineering,"(4 Years, Bachelor of Technology)"
411F,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",B.Tech in Mathematics and Computing,"(4 Years, Bachelor of Technology)"
411E,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",B.Tech in Microelectronics & VLSI,"(4 Years, Bachelor of Technology)"
521Q,"B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems (5 Years, Bachelor and Master of Technology (Dual Degree))",B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
4143,"Bio Engineering (4 Years, Bachelor of Technology)",Bio Engineering,"(4 Years, Bachelor of Technology)"
5204,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
5206,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",Bioengineering with M.Tech in Biomedical Technology,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
411N,"Biological Engineering (4 Years, Bachelor of Technology)",Biological Engineering,"(4 Years, Bachelor of Technology)"
4214,"Biological Science (4 Years, Bachelor of Science)",Biological Science,"(4 Years, Bachelor of Science)"
4103,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Biological Sciences and Bioengineering,"(4 Years, Bachelor of Technology)"
4191,"Biomedical Engineering (4 Years, Bachelor of Technology)",Biomedical Engineering,"(4 Years, Bachelor of Technology)"
4194,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",Biosciences and Bioengineering,"(4 Years, Bachelor of Technology)"
4105,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Biotechnology and Biochemical Engineering,"(4 Years, Bachelor of Technology)"
5208,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Biotechnology and Biochemical Engineering,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
4199,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",Biotechnology and Bioinformatics,"(4 Years, Bachelor of Technology)"
4213,"BS in Chemical Sciences (4 Years, Bachelor of Science)",BS in Chemical Sciences,"(4 Years, Bachelor of Science)"
4206,"BS in Mathematics (4 Years, Bachelor of Science)",BS in Mathematics,"(4 Years, Bachelor of Science)"
4106,"Ceramic Engineering (4 Years, Bachelor of Technology)",Ceramic Engineering,"(4 Years, Bachelor of Technology)"
5209,"Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Ceramic Engineering,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
410D,"Chemical and Biochemical Engineering (4 Years, Bachelor of Technology)",Chemical and Biochemical Engineering,"(4 Years, Bachelor of Technology)"
4107,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,"(4 Years, Bachelor of Technology)"
5210,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Chemical Engineering,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
4108,"Chemical Science and Technology (4 Years, Bachelor of Technology)",Chemical Science and Technology,"(4 Years, Bachelor of Technology)"
5607,"Chemical Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",Chemical Sciences,"(5 Years, Bachelor of Science and Master of Science (Dual Degree))"
4201,"Chemistry (4 Years, Bachelor of Science)",Chemistry,"(4 Years, Bachelor of Science)"
4212,"Chemistry with Specialization (4 Years, Bachelor of Science)",Chemistry with Specialization,"(4 Years, Bachelor of Science)"
4141,"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",Civil and Infrastructure Engineering,"(4 Years, Bachelor of Technology)"
4109,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,"(4 Years, Bachelor of Technology)"
5213,"Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Civil Engineering,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
5286,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Civil Engineering and M. Tech. in Structural Engineering,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
5260,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Civil Engineering and M.Tech in Transportation Engineering,"(5 Years, Bachelor and Master of Technology (Dual Degree))"
